mag,err
nan,nan
nan,nan
15.828,0.17200001
nan,nan
15.546,0.141
13.094,0.033
13.653,0.035
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.887,0.037999999
nan,nan
nan,nan
nan,nan
13.972,0.043000001
11.815,0.030999999
nan,nan
nan,nan
nan,nan
12.159,0.029999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.919,0.061999999
15.017,0.089000002
nan,nan
nan,nan
nan,nan
14.459,0.072999999
13.977,0.054000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.015,0.041999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.333,0.108
nan,nan
nan,nan
12.962,0.035
15.022,0.112
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.552,0.039999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.769,0.037999999
14.809,0.074000001
nan,nan
12.156,0.023
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.895,0.19400001
12.269,0.030999999
nan,nan
nan,nan
15.842,0.19
nan,nan
nan,nan
nan,nan
15.441,0.11
nan,nan
15.31,0.097999997
nan,nan
15.61,0.111
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.461,0.107
nan,nan
nan,nan
15.236,0.079000004
nan,nan
nan,nan
16.066999,0.168
15.447,0.115
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.06,0.050999999
15.05,0.068000004
nan,nan
nan,nan
14.98,0.074000001
nan,nan
nan,nan
nan,nan
15.658,0.125
13.297,0.034000002
nan,nan
14.228,0.054000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.224,0.103
nan,nan
nan,nan
nan,nan
10.194,0.028999999
15.499,0.152
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.928,0.056000002
nan,nan
nan,nan
nan,nan
nan,nan
14.778,0.077
nan,nan
15.354,0.113
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
16.031,0.204
nan,nan
16.040001,0.15000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
16.167,0.21699999
nan,nan
nan,nan
nan,nan
nan,nan
12.55,0.028999999
nan,nan
16.089001,0.19400001
15.825,0.132
14.603,0.054000001
nan,nan
15.143,0.077
13.13,0.033
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.995,0.074000001
15.674,0.121
nan,nan
15.561,0.123
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.627,0.061999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.694,0.035
nan,nan
nan,nan
14.831,0.090000004
nan,nan
15.662,0.14300001
nan,nan
14.327,0.063000001
nan,nan
11.863,0.028999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.429,0.121
nan,nan
nan,nan
nan,nan
nan,nan
13.966,0.048
15.364,0.145
15.624,0.134
nan,nan
nan,nan
nan,nan
16.007999,0.20299999
14.785,0.075000003
10.869,0.028000001
14.558,0.082000002
nan,nan
nan,nan
13.274,0.032000002
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.387,0.103
nan,nan
15.928,0.176
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.737,0.149
15.223,0.104
nan,nan
nan,nan
nan,nan
15.637,0.145
14.246,0.059999999
nan,nan
15.148,0.116
nan,nan
nan,nan
14.066,0.044
nan,nan
nan,nan
15.199,0.097999997
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.491,0.092
nan,nan
nan,nan
nan,nan
14.631,0.061999999
nan,nan
15.032,0.086000003
15.53,0.148
nan,nan
13.605,0.043000001
15.578,0.13600001
nan,nan
nan,nan
nan,nan
nan,nan
11.211,0.026000001
14.831,0.078000002
nan,nan
15.24,0.107
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.535,0.079000004
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.751,0.086999997
nan,nan
nan,nan
nan,nan
nan,nan
12.657,0.037
nan,nan
15.623,0.152
nan,nan
nan,nan
13.82,0.035999998
15.335,0.092
nan,nan
nan,nan
nan,nan
16.073,0.18099999
nan,nan
14.973,0.088
15.344,0.093999997
nan,nan
nan,nan
16.039,0.175
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.801,0.15800001
15.162,0.098999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.909,0.032000002
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.259,0.097000003
nan,nan
nan,nan
nan,nan
nan,nan
11.136,0.023
16.082001,0.22499999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.114,0.033
nan,nan
nan,nan
11.445,0.02
14.868,0.079000004
15.849,0.191
nan,nan
15.634,0.16
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.102,0.082999997
13.503,0.048999999
14.148,0.039000001
15.151,0.089000002
nan,nan
nan,nan
nan,nan
nan,nan
15.929,0.153
12.711,0.032000002
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.073,0.046999998
nan,nan
15.638,0.123
nan,nan
nan,nan
16.382,0.249
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.446,0.11
nan,nan
15.513,0.127
nan,nan
15.289,0.122
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.546,0.037
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.053,0.096000001
15.508,0.148
15.271,0.116
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.72,0.059999999
14.699,0.068999998
15.834,0.17
nan,nan
14.641,0.071000002
15.716,0.13600001
15.299,0.097000003
nan,nan
nan,nan
15.02,0.07
nan,nan
nan,nan
15.576,0.113
nan,nan
15.33,0.092
nan,nan
nan,nan
16.063,0.175
nan,nan
nan,nan
13.267,0.030999999
nan,nan
nan,nan
nan,nan
nan,nan
15.545,0.113
nan,nan
13.345,0.032000002
13.892,0.035999998
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.635,0.134
nan,nan
nan,nan
nan,nan
9.8620005,0.029999999
13.53,0.041000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.403,0.28999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.667,0.154
15.29,0.113
15.666,0.14300001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.914,0.082999997
nan,nan
nan,nan
nan,nan
nan,nan
15.375,0.116
nan,nan
15.646,0.156
nan,nan
15.291,0.119
nan,nan
nan,nan
nan,nan
13.544,0.037999999
nan,nan
13.709,0.041999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
11.293,0.030999999
nan,nan
nan,nan
nan,nan
14.565,0.064999998
15.939,0.161
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.617,0.033
14.299,0.068000004
nan,nan
nan,nan
15.271,0.096000001
nan,nan
nan,nan
nan,nan
nan,nan
14.097,0.046
15.593,0.131
15.38,0.116
15.526,0.12800001
nan,nan
13.905,0.045000002
16.194,0.20999999
nan,nan
nan,nan
nan,nan
15.742,0.182
nan,nan
nan,nan
nan,nan
14.863,0.072999999
15.249,0.112
13.576,0.037999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.704,0.141
nan,nan
nan,nan
nan,nan
12.68,0.025
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.232,0.108
nan,nan
nan,nan
13.079,0.028999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
