RA,Dec
349.097266,62.184582
349.022096,62.188171
nan,nan
nan,nan
nan,nan
348.631716,62.206303
348.613854,62.206841
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
347.164364,62.264141
nan,nan
nan,nan
346.826352,62.275139
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
346.066644,62.297188
nan,nan
nan,nan
345.785003,62.304077
345.778507,62.304298
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
345.159631,62.317871
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
344.366531,62.331112
344.358294,62.331291
nan,nan
343.82561,62.337608
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
343.365574,62.34156
nan,nan
nan,nan
nan,nan
nan,nan
343.237847,62.342258
350.054554,62.135281
nan,nan
nan,nan
349.672966,62.155937
nan,nan
nan,nan
nan,nan
349.321842,62.173626
nan,nan
349.313973,62.174091
nan,nan
349.265421,62.176506
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
348.377656,62.217583
nan,nan
nan,nan
348.255869,62.222588
nan,nan
nan,nan
348.170026,62.226311
348.057097,62.23085
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
347.418492,62.255402
347.276667,62.260292
nan,nan
nan,nan
347.152665,62.264721
347.142201,62.265099
nan,nan
nan,nan
346.83495,62.274948
346.726043,62.278423
nan,nan
346.59346,62.282555
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
345.998657,62.299194
nan,nan
345.735945,62.305374
nan,nan
345.487068,62.311279
345.349037,62.314152
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
344.268487,62.332775
nan,nan
nan,nan
nan,nan
nan,nan
343.909299,62.336861
nan,nan
343.801809,62.337963
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
349.824467,62.148102
nan,nan
349.304706,62.174656
nan,nan
348.969104,62.190884
nan,nan
nan,nan
nan,nan
348.561902,62.209824
nan,nan
nan,nan
nan,nan
nan,nan
348.017335,62.232853
nan,nan
347.907626,62.237183
347.896485,62.237728
347.779725,62.242252
nan,nan
347.261296,62.261234
347.11212,62.266266
nan,nan
nan,nan
nan,nan
