mag,err
nan,nan
nan,nan
nan,nan
nan,nan
15.643,0.215
nan,nan
nan,nan
14.666,0.106
nan,nan
nan,nan
nan,nan
nan,nan
15.088,0.118
nan,nan
nan,nan
13.439,0.039000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.628,0.054000001
15.153,0.149
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.877,0.102
nan,nan
15.586,0.213
nan,nan
14.418,0.092
12.582,0.033
14.693,0.104
nan,nan
nan,nan
nan,nan
nan,nan
12.978,0.029999999
12.941,0.039999999
nan,nan
13.646,0.045000002
nan,nan
13.807,0.064999998
nan,nan
nan,nan
nan,nan
15.507,0.215
nan,nan
nan,nan
nan,nan
14.161,0.063000001
nan,nan
nan,nan
15.388,0.18099999
nan,nan
nan,nan
nan,nan
14.873,0.118
nan,nan
nan,nan
nan,nan
14.431,0.093999997
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.182,0.035
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.761,0.23
nan,nan
12.99,0.035999998
12.78,0.033
nan,nan
nan,nan
14.488,0.079999998
15.549,0.193
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.075,0.035999998
nan,nan
nan,nan
15.193,0.152
14.647,0.105
nan,nan
nan,nan
nan,nan
15.402,0.161
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.159,0.066
15.046,0.148
14.955,0.139
nan,nan
nan,nan
nan,nan
14.713,0.107
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.567,0.093000002
nan,nan
10.091,0.021
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.135,0.13600001
nan,nan
14.132,0.059999999
13.657,0.035999998
nan,nan
nan,nan
nan,nan
13.288,0.048
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.999,0.131
nan,nan
nan,nan
15.254,0.15800001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.467,0.191
14.314,0.078000002
nan,nan
13.131,0.037
nan,nan
8.4919996,0.017000001
nan,nan
14.829,0.113
nan,nan
12.639,0.033
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.363,0.079000004
13.461,0.039000001
nan,nan
nan,nan
nan,nan
15.348,0.18799999
nan,nan
nan,nan
nan,nan
nan,nan
13.08,0.035
nan,nan
nan,nan
nan,nan
15.178,0.13600001
nan,nan
15.505,0.17200001
9.7259998,0.028000001
15.189,0.14
nan,nan
nan,nan
nan,nan
nan,nan
15.289,0.147
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.539,0.204
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.248,0.153
nan,nan
15.389,0.18799999
12.896,0.033
13.18,0.033
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.409,0.039999999
nan,nan
nan,nan
nan,nan
13.625,0.045000002
11.694,0.026000001
nan,nan
nan,nan
nan,nan
11.955,0.023
15.47,0.20299999
14.459,0.093999997
nan,nan
nan,nan
nan,nan
nan,nan
14.763,0.094999999
14.796,0.109
nan,nan
nan,nan
nan,nan
14.146,0.071000002
13.672,0.059
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.999,0.046999998
nan,nan
nan,nan
15.917,0.28099999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.777,0.107
nan,nan
nan,nan
12.522,0.032000002
14.629,0.111
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.907,0.030999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.283,0.028000001
14.72,0.106
nan,nan
11.835,0.022
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.91,0.121
nan,nan
nan,nan
nan,nan
nan,nan
15.15,0.154
12.039,0.030999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.377,0.18000001
nan,nan
14.844,0.111
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.0,0.12800001
nan,nan
nan,nan
15.441,0.18799999
14.835,0.115
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.731,0.034000002
14.906,0.106
nan,nan
nan,nan
14.878,0.1
15.437,0.183
nan,nan
nan,nan
15.54,0.186
13.096,0.037
nan,nan
13.891,0.052999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.628,0.092
nan,nan
15.105,0.125
nan,nan
9.6599998,0.024
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.572,0.050999999
nan,nan
nan,nan
nan,nan
nan,nan
14.743,0.118
nan,nan
15.411,0.19599999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.53,0.236
nan,nan
15.594,0.205
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.63,0.22400001
nan,nan
nan,nan
nan,nan
nan,nan
12.31,0.025
nan,nan
nan,nan
nan,nan
14.286,0.068000004
nan,nan
15.25,0.12899999
12.771,0.026000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.723,0.092
15.116,0.131
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.458,0.072999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
12.173,0.029999999
nan,nan
nan,nan
14.267,0.072999999
nan,nan
15.196,0.15000001
nan,nan
13.885,0.055
nan,nan
11.383,0.026000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.283,0.182
nan,nan
nan,nan
nan,nan
nan,nan
13.463,0.043000001
14.82,0.12
15.302,0.184
nan,nan
nan,nan
nan,nan
nan,nan
14.889,0.14399999
10.613,0.021
14.378,0.075999998
nan,nan
nan,nan
12.956,0.032000002
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.029,0.15099999
nan,nan
15.101,0.134
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.579,0.207
15.256,0.14399999
nan,nan
nan,nan
nan,nan
15.155,0.149
13.848,0.052999999
nan,nan
14.795,0.115
nan,nan
nan,nan
13.816,0.048
nan,nan
nan,nan
14.79,0.098999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.046,0.061999999
nan,nan
nan,nan
nan,nan
14.262,0.063000001
nan,nan
14.495,0.083999999
14.883,0.117
nan,nan
13.281,0.041000001
15.185,0.162
nan,nan
nan,nan
nan,nan
nan,nan
11.012,0.022
14.442,0.086999997
nan,nan
14.549,0.096000001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.288,0.090999998
nan,nan
nan,nan
nan,nan
nan,nan
12.424,0.028000001
nan,nan
nan,nan
nan,nan
nan,nan
13.509,0.035
15.163,0.15000001
nan,nan
nan,nan
nan,nan
15.382,0.191
nan,nan
14.522,0.083999999
15.067,0.15099999
nan,nan
nan,nan
15.278,0.15800001
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.506,0.19499999
14.761,0.092
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
15.136,0.154
nan,nan
12.534,0.029999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
14.762,0.090999998
nan,nan
nan,nan
nan,nan
nan,nan
10.683,0.017999999
15.331,0.17399999
nan,nan
nan,nan
nan,nan
14.864,0.115
nan,nan
nan,nan
12.76,0.035
nan,nan
nan,nan
11.039,0.02
14.702,0.097000003
15.146,0.154
nan,nan
15.49,0.21699999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
13.142,0.028999999
13.319,0.050000001
13.755,0.048999999
14.923,0.126
nan,nan
nan,nan
nan,nan
13.566,0.067000002
nan,nan
12.58,0.028999999
nan,nan
nan,nan
nan,nan
nan,nan
nan,nan
